Rank,Peak,All_Time_Peak,Actual_Gross,Adjusted_Gross,Artist,Tour_Title,Shows,Average_Gross,Start Year,End Year,Calculated_Avg
1,1,2,780000000.0,780000000,Taylor Swift,The Eras Tour,56,13928571,2023,2024,13928571.42857143
2,1,7,579800000.0,579800000,Beyoncé,Renaissance World Tour,56,10353571,2023,2023,10353571.42857143
3,1,2,411000000.0,560622615,Madonna,Sticky & Sweet Tour,85,4835294,2008,2009,4835294.117647059
4,2,10,397300000.0,454751555,Pink,Beautiful Trauma World Tour,156,2546795,2018,2019,2546794.871794872
5,2,,345675146.0,402844849,Taylor Swift,Reputation Stadium Tour,53,6522173,2018,2018,6522172.566037736
6,2,10,305158363.0,388978496,Madonna,The MDNA Tour,88,3467709,2012,2012,3467708.6704545454
7,2,,280000000.0,381932682,Celine Dion,Taking Chances World Tour,131,2137405,2008,2009,2137404.580152672
7,,,257600000.0,257600000,Pink,Summer Carnival,41,6282927,2023,2024,6282926.8292682925
9,,,256084556.0,312258401,Beyoncé,The Formation World Tour,49,5226215,2016,2016,5226215.428571428
10,,,250400000.0,309141878,Taylor Swift,The 1989 World Tour,85,2945882,2015,2015,2945882.3529411764
11,,,,283202896,Beyoncé,The Mrs. Carter Show World Tour,132,1735606,2013,2014,
12,,14,227400000.0,295301479,Lady Gaga,The Monster Ball Tour,203,1118227,2009,2011,1120197.0443349753
13,,,204000000.0,251856802,Katy Perry,Prismatic World Tour,151,1350993,2014,2015,1350993.3774834438
14,1,,200000000.0,299676265,Cher,Living Proof: The Farewell Tour,325,615385,2002,2005,615384.6153846154
15,2,,194000000.0,281617035,Madonna,Confessions Tour,60,3233333,2006,2006,3233333.3333333335
16,,,184000000.0,227452347,Pink,The Truth About Love Tour,142,1295775,2013,2014,1295774.647887324
17,,,170000000.0,213568571,Lady Gaga,Born This Way Ball,98,1734694,2012,2013,1734693.8775510204
18,,,169800000.0,207046755,Madonna,Rebel Heart Tour,82,2070732,2015,2016,2070731.7073170731
19,,,,204486106,Adele,Adele Live 2016,121,1385950,2016,2017,
20,,,150000000.0,185423109,Taylor Swift,The Red Tour,86,1744186,2013,2014,1744186.046511628
