price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus_semi-furnished,furnishingstatus_unfurnished,area_log
13300000,7420,4,2,3,1,0,0,0,1,2,1,False,False,8.912069097970134
12250000,8960,4,4,4,1,0,0,0,1,3,0,False,False,9.10063710688422
12250000,9960,3,2,2,1,0,1,0,0,2,1,True,False,9.206432747145165
12215000,7500,4,2,2,1,0,1,0,1,3,1,False,False,8.922791623969637
11410000,7420,4,1,2,1,1,1,0,1,2,0,False,False,8.912069097970134
10850000,7500,3,3,1,1,0,1,0,1,2,1,True,False,8.922791623969637
10150000,8580,4,3,4,1,0,0,0,1,2,1,True,False,9.057305735807121
10150000,16200,5,3,2,1,0,0,0,0,0,0,False,True,9.692828247710418
9870000,8100,4,1,2,1,1,1,0,1,2,1,False,False,8.999742789830492
9800000,5750,3,2,4,1,1,0,0,1,1,1,False,True,8.657129031713755
9800000,13200,3,1,2,1,0,1,0,1,2,1,False,False,9.488047863280759
9681000,6000,4,3,2,1,1,1,1,0,2,0,True,False,8.699681400989514
9310000,6550,4,2,2,1,0,0,0,1,1,1,True,False,8.787372988731876
9240000,3500,4,2,2,1,0,0,1,0,2,0,False,False,8.160803920954665
9240000,7800,3,2,2,1,0,0,0,0,0,1,True,False,8.962007209588313
9100000,6000,4,1,2,1,0,1,0,0,2,0,True,False,8.699681400989514
9100000,6600,4,2,2,1,1,1,0,1,1,1,False,True,8.79497643168877
8960000,8500,3,2,4,1,0,0,0,1,2,0,False,False,9.04793908261736
8890000,4600,3,2,2,1,1,0,0,1,2,0,False,False,8.434028950155469
8855000,6420,3,2,2,1,0,0,0,1,1,1,True,False,8.76732914779405
8750000,4320,3,1,2,1,0,1,1,0,2,0,True,False,8.371242135931933
8680000,7155,3,2,1,1,1,1,0,1,2,0,False,True,8.87570644462861
8645000,8050,3,1,1,1,1,1,0,1,1,0,False,False,8.993551586299981
8645000,4560,3,2,2,1,1,1,0,1,1,0,False,False,8.4252971767117
8575000,8800,3,2,2,1,0,0,0,1,2,0,False,False,9.082620630373812
8540000,6540,4,2,2,1,1,1,0,1,2,1,False,False,8.785845337961213
8463000,6000,3,2,4,1,1,1,0,1,0,1,True,False,8.699681400989514
8400000,8875,3,1,1,1,0,0,0,0,1,0,True,False,9.091106284052485
8400000,7950,5,2,2,1,0,1,1,0,2,0,False,True,8.981052985901483
8400000,5500,4,2,2,1,0,1,0,1,1,1,True,False,8.612685172875459
8400000,7475,3,2,4,1,0,0,0,1,2,0,False,True,8.919453168575453
8400000,7000,3,1,4,1,0,0,0,1,2,0,True,False,8.853808274977197
8295000,4880,4,2,2,1,0,0,0,1,1,1,False,False,8.493105395887147
8190000,5960,3,3,2,1,1,1,0,0,1,0,False,True,8.692993531219926
8120000,6840,5,1,2,1,1,1,0,1,1,0,False,False,8.830689198760998
8080940,7000,3,2,4,1,0,0,0,1,2,0,False,False,8.853808274977197
8043000,7482,3,2,3,1,0,0,1,0,1,1,False,False,8.920389060080359
7980000,9000,4,2,4,1,0,0,0,1,2,0,False,False,9.105090961257085
7962500,6000,3,1,4,1,1,0,0,1,2,0,False,True,8.699681400989514
7910000,6000,4,2,4,1,0,0,0,1,1,0,True,False,8.699681400989514
7875000,6550,3,1,2,1,0,1,0,1,0,1,False,False,8.787372988731876
7840000,6360,3,2,4,1,0,0,0,1,0,1,False,False,8.757940876678804
7700000,6480,3,2,4,1,0,0,0,1,2,0,False,True,8.776630098427717
7700000,6000,4,2,4,1,0,0,0,0,2,0,True,False,8.699681400989514
7560000,6000,4,2,4,1,0,0,0,1,1,0,False,False,8.699681400989514
7560000,6000,3,2,3,1,0,0,0,1,0,0,True,False,8.699681400989514
7525000,6000,3,2,4,1,0,0,0,1,1,0,False,False,8.699681400989514
7490000,6600,3,1,4,1,0,0,0,1,3,1,False,False,8.79497643168877
7455000,4300,3,2,2,1,0,1,0,0,1,0,False,True,8.366602832783736
7420000,7440,3,2,1,1,1,1,0,1,0,1,True,False,8.914760527397261
7420000,7440,3,2,4,1,0,0,0,0,1,1,False,True,8.914760527397261
7420000,6325,3,1,4,1,0,0,0,1,1,0,False,True,8.752423403865594
7350000,6000,4,2,4,1,1,0,0,1,1,0,False,False,8.699681400989514
7350000,5150,3,2,4,1,0,0,0,1,2,0,True,False,8.546946149565585
7350000,6000,3,2,2,1,1,0,0,1,1,0,True,False,8.699681400989514
7350000,6000,3,1,2,1,0,0,0,1,1,0,False,True,8.699681400989514
7343000,11440,4,1,2,1,0,1,0,0,1,1,True,False,9.344958673700944
7245000,9000,4,2,4,1,1,0,0,1,1,1,False,False,9.105090961257085
7210000,7680,4,2,4,1,1,0,0,1,1,0,True,False,8.946505025998682
7210000,6000,3,2,4,1,1,0,0,1,1,0,False,False,8.699681400989514
7140000,6000,3,2,2,1,1,0,0,0,1,0,True,False,8.699681400989514
7070000,8880,2,1,1,1,0,0,0,1,1,0,True,False,9.091669442258505
7070000,6240,4,2,2,1,0,0,0,1,1,0,False,False,8.738895704934043
